r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
3.5,1.5,1489,0.485,1.2843,1912.34,15m,train,0.675,2354
3.5,2.0,1489,0.478,1.2507,1862.34,15m,train,0.675,2354
4.0,0.25,1489,0.543,1.8978,2825.81,15m,train,0.675,2354
4.0,0.5,1489,0.515,1.6936,2521.8,15m,train,0.675,2354
4.0,0.75,1489,0.5,1.5903,2367.89,15m,train,0.675,2354
4.0,1.0,1489,0.488,1.515,2255.82,15m,train,0.675,2354
4.0,1.5,1489,0.475,1.444,2150.12,15m,train,0.675,2354
4.0,2.0,1489,0.469,1.4051,2092.22,15m,train,0.675,2354
4.5,0.25,1489,0.537,1.9976,2974.43,15m,train,0.675,2354
4.5,0.5,1489,0.508,1.7854,2658.41,15m,train,0.675,2354
4.5,0.75,1489,0.491,1.6705,2487.3,15m,train,0.675,2354
4.5,1.0,1489,0.478,1.5827,2356.58,15m,train,0.675,2354
4.5,1.5,1489,0.464,1.4984,2231.08,15m,train,0.675,2354
4.5,2.0,1489,0.457,1.4523,2162.44,15m,train,0.675,2354
5.0,0.25,1489,0.529,2.0822,3100.44,15m,train,0.675,2354
5.0,0.5,1489,0.499,1.8722,2787.63,15m,train,0.675,2354
