tf,split,hour,dow,net
15m,train,1,6,-1.8584109750067395
15m,train,5,6,0.07957786072871725
15m,train,7,6,2.961806688097206
15m,train,22,2,1.342925624151832
15m,train,20,6,-3.6306790281232337
15m,train,6,0,-1.1243816450825825
15m,train,9,1,2.638885037786102
15m,train,12,1,-2.9250088357132387
15m,train,13,1,-0.8637565253886341
15m,train,9,3,-2.271858443985261
15m,train,11,3,-1.1683337643711664
15m,train,14,3,7.89801131993352
15m,train,1,4,-1.3356841548903577
15m,train,7,4,-1.354413726313468
15m,train,8,5,0.41641294052216693
15m,train,11,5,-1.2571522817138665
15m,train,17,5,-1.7560281039751744
15m,train,21,5,-1.384086086015582
15m,train,5,6,3.4444529591119073
15m,train,6,6,2.148383804599148
15m,train,7,6,1.3234003977002589
15m,train,12,1,-5.712776323209757
15m,train,6,3,13.652275032710117
15m,train,12,3,-4.087370052181514
15m,train,8,4,10.2151386981747
15m,train,2,5,-3.0143107836769722
15m,train,14,0,5.044429848267443
15m,train,22,5,-1.6015904727218808
15m,train,0,0,-5.507055139078502
15m,train,0,2,-2.3947710948721075
15m,train,18,2,-15.930650047184779
15m,train,3,4,-3.053213454804543
15m,train,5,4,-7.063405726744457
15m,train,11,4,-3.9159210988880733
15m,train,22,4,-0.7541053758165502
15m,train,10,5,-1.4915732981034369
15m,train,19,5,2.438887322137299
15m,train,2,6,12.627698181952596
