r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
2.0,0.75,10950,0.296,-2.9749,-32575.22,15m,train,0.4,16895
2.0,1.0,10950,0.248,-3.6567,-40040.76,15m,train,0.4,16895
2.0,1.5,10950,0.181,-4.8021,-52583.32,15m,train,0.4,16895
2.0,2.0,10950,0.138,-5.7441,-62898.11,15m,train,0.4,16895
2.5,0.25,10950,0.415,-0.8434,-9235.65,15m,train,0.4,16895
2.5,0.5,10950,0.353,-2.0269,-22194.27,15m,train,0.4,16895
2.5,0.75,10950,0.311,-2.8853,-31594.41,15m,train,0.4,16895
2.5,1.0,10950,0.273,-3.5813,-39215.69,15m,train,0.4,16895
2.5,1.5,10950,0.211,-4.7394,-51896.96,15m,train,0.4,16895
2.5,2.0,10950,0.167,-5.6894,-62299.16,15m,train,0.4,16895
3.0,0.25,10950,0.399,-0.7304,-7997.4,15m,train,0.4,16895
3.0,0.5,10950,0.339,-1.9459,-21307.15,15m,train,0.4,16895
3.0,0.75,10950,0.305,-2.8232,-30913.99,15m,train,0.4,16895
3.0,1.0,10950,0.278,-3.5279,-38630.44,15m,train,0.4,16895
3.0,1.5,10950,0.231,-4.6956,-51416.3,15m,train,0.4,16895
3.0,2.0,10950,0.19,-5.6544,-61915.26,15m,train,0.4,16895
3.5,0.25,10950,0.384,-0.6103,-6682.88,15m,train,0.4,16895
3.5,0.5,10950,0.326,-1.8431,-20182.48,15m,train,0.4,16895
3.5,0.75,10950,0.297,-2.746,-30068.53,15m,train,0.4,16895
3.5,1.0,10950,0.277,-3.4599,-37886.09,15m,train,0.4,16895
3.5,1.5,10950,0.241,-4.6433,-50844.1,15m,train,0.4,16895
3.5,2.0,10950,0.209,-5.6109,-61439.2,15m,train,0.4,16895
4.0,0.25,10950,0.376,-0.5162,-5651.93,15m,train,0.4,16895
4.0,0.5,10950,0.314,-1.7581,-19250.95,15m,train,0.4,16895
4.0,0.75,10950,0.287,-2.6727,-29266.15,15m,train,0.4,16895
4.0,1.0,10950,0.27,-3.3904,-37124.97,15m,train,0.4,16895
4.0,1.5,10950,0.242,-4.5787,-50137.19,15m,train,0.4,16895
4.0,2.0,10950,0.218,-5.5568,-60846.9,15m,train,0.4,16895
4.5,0.25,10950,0.368,-0.4237,-4639.42,15m,train,0.4,16895
4.5,0.5,10950,0.304,-1.6605,-18182.22,15m,train,0.4,16895
4.5,0.75,10950,0.277,-2.5892,-28351.59,15m,train,0.4,16895
4.5,1.0,10950,0.26,-3.3174,-36325.13,15m,train,0.4,16895
4.5,1.5,10950,0.236,-4.5148,-49436.57,15m,train,0.4,16895
4.5,2.0,10950,0.217,-5.5026,-60253.81,15m,train,0.4,16895
5.0,0.25,10950,0.361,-0.3757,-4113.8,15m,train,0.4,16895
5.0,0.5,10950,0.296,-1.5952,-17467.77,15m,train,0.4,16895
