tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.575,5.0,1.0,2.2633,1.5514,0.9317,624,1519,704
15m,0.375,3.0,0.5,1.7792,1.5511,0.5619,640,1566,727
15m,0.45,4.0,1.0,2.0231,1.5485,0.6384,638,1550,723
15m,0.675,3.0,0.25,1.7817,1.5478,1.3842,611,1489,692
15m,0.65,3.0,0.25,1.7433,1.5436,1.2977,613,1496,695
15m,0.675,5.0,1.5,1.9046,1.5406,1.0216,611,1489,692
15m,0.4,2.5,0.25,1.6958,1.5401,0.8913,640,1563,726
15m,0.525,4.5,1.0,2.1415,1.5381,0.8987,628,1532,710
15m,0.575,4.5,1.5,1.887,1.538,0.8347,624,1519,704
15m,0.375,5.0,1.5,2.3598,1.537,0.4366,640,1566,727
15m,0.325,3.5,1.0,1.8162,1.5355,0.4855,643,1573,729
15m,0.7,5.0,1.5,1.8563,1.5343,1.2276,611,1485,687
15m,0.6,4.5,1.5,1.6844,1.5337,0.9347,618,1513,703
15m,0.5,4.0,1.0,1.9942,1.5336,0.745,631,1535,715
15m,0.425,3.0,0.5,1.7854,1.5302,0.7944,640,1557,724
15m,0.7,4.0,1.0,1.8335,1.5278,1.3078,611,1485,687
15m,0.525,4.0,1.0,1.9769,1.5277,0.7254,628,1532,710
15m,0.6,5.0,1.0,1.9938,1.5261,0.9663,618,1513,703
15m,0.375,4.5,1.5,2.114,1.5256,0.3253,640,1566,727
15m,0.35,5.0,2.0,2.1626,1.5254,0.3472,643,1571,728
15m,0.425,2.5,0.25,1.6332,1.5239,0.9968,640,1557,724
15m,0.425,4.5,1.5,2.0442,1.5231,0.5177,640,1557,724
15m,0.375,3.5,1.0,1.8182,1.5228,0.375,640,1566,727
15m,0.525,5.0,1.5,2.1016,1.5222,0.6858,628,1532,710
15m,0.4,3.0,0.5,1.7698,1.5216,0.6578,640,1563,726
15m,0.4,5.0,1.5,2.299,1.5214,0.4498,640,1563,726
15m,0.45,3.5,0.75,1.8181,1.5177,0.594,638,1550,723
15m,0.6,3.5,0.5,1.7423,1.517,1.1565,618,1513,703
15m,0.625,3.0,0.25,1.8034,1.5169,1.3311,617,1505,701
15m,0.4,4.0,1.5,2.0303,1.515,0.5373,640,1563,726
15m,0.675,4.0,1.0,1.8048,1.515,1.1483,611,1489,692
15m,0.35,4.5,1.5,2.0021,1.514,0.273,643,1571,728
15m,0.425,5.0,1.5,2.1921,1.5132,0.5347,640,1557,724
15m,0.45,2.5,0.25,1.6369,1.513,1.0017,638,1550,723
15m,0.475,2.5,0.25,1.6287,1.5129,0.9352,636,1544,719
15m,0.7,4.5,1.5,1.8006,1.5118,1.1848,611,1485,687
15m,0.425,3.5,1.0,1.7899,1.5096,0.5336,640,1557,724
