tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
30m,0.625,10.0,0.25,0.0098,0.3471,0.0625,1923,4701,1936
30m,0.6,10.0,0.25,0.0291,0.3376,0.0655,1928,4723,1947
30m,0.7,10.0,0.25,0.1451,0.3286,0.114,1895,4650,1914
30m,0.55,10.0,0.25,0.0212,0.305,0.01,1942,4761,1964
30m,0.675,7.0,0.25,0.1248,0.2854,0.1718,1903,4669,1924
30m,0.575,7.0,0.25,0.0538,0.2838,0.0949,1933,4747,1955
30m,0.65,7.0,0.25,0.075,0.2731,0.0662,1913,4684,1931
30m,0.625,7.0,0.25,0.0188,0.2611,0.1057,1923,4701,1936
30m,0.7,7.0,0.25,0.0704,0.2572,0.1245,1895,4650,1914
30m,0.6,7.0,0.25,0.0443,0.252,0.1081,1928,4723,1947
30m,0.55,7.0,0.25,0.0266,0.2373,0.0943,1942,4761,1964
30m,0.5,7.0,0.25,0.1267,0.2338,0.0063,1952,4793,1973
