zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
OB,1.5,0.5,80,305,0.666,1.0,305.1,7.145
OB,1.5,0.5,85,247,0.664,0.834,205.9,7.606
OB,1.5,0.5,90,226,0.673,0.818,184.9,7.891
OB,1.5,1.0,60,1227,0.593,1.043,1279.6,6.689
OB,1.5,1.0,65,785,0.597,1.077,845.3,7.061
OB,1.5,1.0,70,548,0.606,0.987,541.1,7.645
OB,1.5,1.0,75,439,0.613,0.92,404.1,7.959
OB,1.5,1.0,80,305,0.649,0.98,298.8,6.858
OB,1.5,1.0,85,247,0.648,0.827,204.3,7.259
OB,1.5,1.0,90,226,0.655,0.822,185.8,7.525
OB,1.5,2.0,60,1227,0.586,1.021,1252.8,6.611
OB,1.5,2.0,65,785,0.592,1.064,835.1,6.954
OB,1.5,2.0,70,548,0.599,0.995,545.3,7.516
OB,1.5,2.0,75,439,0.606,0.935,410.4,7.786
OB,1.5,2.0,80,305,0.643,0.973,296.7,6.575
OB,1.5,2.0,85,247,0.644,0.832,205.4,6.919
OB,1.5,2.0,90,226,0.65,0.835,188.6,7.166
OB,1.5,3.0,60,1227,0.584,1.012,1241.8,6.577
OB,1.5,3.0,65,785,0.59,1.06,831.9,6.906
OB,1.5,3.0,70,548,0.597,1.0,548.1,7.456
OB,1.5,3.0,75,439,0.604,0.944,414.3,7.705
OB,1.5,3.0,80,305,0.643,0.971,296.3,6.431
OB,1.5,3.0,85,247,0.644,0.836,206.5,6.746
OB,1.5,3.0,90,226,0.65,0.842,190.3,6.983
OB,1.5,5.0,60,1227,0.582,1.003,1230.5,6.544
OB,1.5,5.0,65,785,0.589,1.056,829.3,6.859
OB,1.5,5.0,70,548,0.595,1.006,551.2,7.396
OB,1.5,5.0,75,439,0.601,0.954,418.6,7.623
OB,1.5,5.0,80,305,0.639,0.971,296.0,6.281
OB,1.5,5.0,85,247,0.64,0.841,207.8,6.566
OB,1.5,5.0,90,226,0.646,0.851,192.2,6.793
OB,2.0,0.5,60,1227,0.567,1.151,1412.3,7.206
OB,2.0,0.5,65,785,0.567,1.121,879.9,7.594
OB,2.0,0.5,70,548,0.575,0.982,538.0,8.097
OB,2.0,0.5,75,439,0.579,0.885,388.7,8.452
OB,2.0,0.5,80,305,0.603,0.887,270.6,7.406
OB,2.0,0.5,85,247,0.603,0.667,164.7,7.791
OB,2.0,0.5,90,226,0.615,0.698,157.7,8.084
OB,2.0,1.0,60,1227,0.546,1.072,1315.3,7.102
OB,2.0,1.0,65,785,0.544,1.058,830.4,7.463
OB,2.0,1.0,70,548,0.553,0.942,516.3,7.929
OB,2.0,1.0,75,439,0.56,0.854,375.1,8.233
OB,2.0,1.0,80,305,0.584,0.834,254.5,7.139
OB,2.0,1.0,85,247,0.587,0.63,155.7,7.457
OB,2.0,1.0,90,226,0.597,0.674,152.4,7.73
OB,2.0,2.0,60,1227,0.538,1.024,1256.4,7.032
OB,2.0,2.0,65,785,0.538,1.023,803.2,7.368
OB,2.0,2.0,70,548,0.544,0.925,506.8,7.8
OB,2.0,2.0,75,439,0.554,0.845,370.9,8.061
OB,2.0,2.0,80,305,0.577,0.807,246.1,6.878
OB,2.0,2.0,85,247,0.583,0.615,152.0,7.131
OB,2.0,2.0,90,226,0.593,0.668,151.1,7.384
OB,2.0,3.0,60,1227,0.533,1.004,1232.0,7.002
OB,2.0,3.0,65,785,0.532,1.01,793.1,7.326
OB,2.0,3.0,70,548,0.54,0.919,503.8,7.742
OB,2.0,3.0,75,439,0.549,0.844,370.3,7.982
OB,2.0,3.0,80,305,0.574,0.797,243.1,6.746
OB,2.0,3.0,85,247,0.579,0.611,151.0,6.966
OB,2.0,3.0,90,226,0.593,0.669,151.1,7.209
OB,2.0,5.0,60,1227,0.531,0.984,1207.7,6.975
OB,2.0,5.0,65,785,0.531,0.999,783.9,7.286
