depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.45,4.0,1.0,1.8489,1.5323,3.0173,185,460,228
0.5,2.5,5.0,2.8674,1.5321,2.6385,181,459,226
0.65,4.0,3.0,2.5238,1.5321,2.8904,176,438,220
0.575,4.0,6.0,3.093,1.5318,3.4252,178,450,222
0.45,1.5,4.0,1.7075,1.5308,1.4747,185,460,228
0.575,4.0,7.0,3.1927,1.5297,3.4272,178,450,222
0.525,1.5,7.0,1.9032,1.5297,2.2596,180,455,224
0.425,4.0,3.0,2.3315,1.5292,3.2157,186,463,229
0.625,4.0,2.0,1.9462,1.5281,3.0734,176,442,220
0.45,4.0,2.0,2.1361,1.528,2.9533,185,460,228
0.525,1.5,6.0,1.844,1.5265,2.258,180,455,224
0.575,3.0,3.0,2.7013,1.5262,2.7309,178,450,222
0.5,1.5,3.0,1.7042,1.5259,2.2117,181,459,226
0.575,2.0,2.0,1.9733,1.5256,2.3938,178,450,222
0.525,5.0,3.0,3.2333,1.5247,3.3857,180,455,224
0.5,2.5,4.0,2.7423,1.5242,2.632,181,459,226
0.475,4.0,3.0,2.6469,1.5225,3.2514,184,460,227
0.525,1.5,5.0,1.7717,1.5225,2.2557,180,455,224
0.65,4.0,4.0,2.6692,1.5223,2.888,176,438,220
0.45,1.5,3.0,1.5914,1.5219,1.4729,185,460,228
0.575,2.0,1.0,1.6859,1.521,2.3796,178,450,222
0.475,1.5,1.0,1.0156,1.5207,1.8027,184,460,227
0.425,4.0,1.0,1.8478,1.519,3.2664,186,463,229
0.45,4.0,5.0,2.6896,1.518,2.9537,185,460,228
0.425,5.0,3.0,2.7357,1.5171,2.7295,186,463,229
0.525,1.5,4.0,1.68,1.5171,2.252,180,455,224
0.525,5.0,7.0,3.7048,1.517,3.3861,180,455,224
0.5,3.5,7.0,2.8484,1.5168,3.1671,181,459,226
0.575,3.0,2.0,2.48,1.5163,2.7234,178,450,222
0.65,4.0,5.0,2.7891,1.5163,2.8866,176,438,220
0.5,3.5,3.0,2.5391,1.5162,3.1342,181,459,226
0.525,5.0,4.0,3.4239,1.516,3.3822,180,455,224
0.525,5.0,6.0,3.5972,1.5158,3.3841,180,455,224
0.5,3.5,6.0,2.7546,1.5156,3.1615,181,459,226
0.525,5.0,5.0,3.5673,1.5152,3.3825,180,455,224
0.5,3.5,5.0,2.8068,1.5148,3.1547,181,459,226
