kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
BB,15m,0.425,5.0,0.25,0.9337,1.7069,3.1313,135,400,191
BB,15m,0.45,4.0,0.25,0.6305,1.7024,3.3117,137,394,190
BB,15m,0.6,4.0,0.167,0.4303,1.6986,2.9381,131,392,191
BB,15m,0.625,7.0,0.167,0.6295,1.6935,3.0837,132,388,189
BB,15m,0.3,7.0,0.25,2.3758,1.6924,3.0119,134,402,199
BB,15m,0.575,10.0,0.167,0.8891,1.6922,3.2957,132,397,191
BB,15m,0.425,2.0,0.167,0.9668,1.6817,2.5515,135,400,191
BB,15m,0.5,7.0,0.167,1.7347,1.68,3.5141,134,397,190
BB,15m,0.375,5.0,0.25,2.2672,1.677,2.6535,130,401,194
BB,15m,0.6,7.0,0.167,0.5993,1.6756,3.0548,131,392,191
BB,15m,0.475,10.0,0.167,1.7615,1.6719,3.6619,136,395,189
BB,15m,0.45,7.0,0.25,0.8668,1.6717,2.7305,137,394,190
BB,15m,0.425,3.0,0.25,0.5708,1.6707,2.6202,135,400,191
BB,15m,0.7,10.0,0.167,1.2991,1.6688,3.72,129,374,191
BB,15m,0.475,7.0,0.25,1.1243,1.6684,2.7976,136,395,189
BB,15m,0.45,10.0,0.25,1.001,1.661,2.775,137,394,190
BB,15m,0.7,7.0,0.167,1.2378,1.6606,3.6447,129,374,191
BB,15m,0.65,3.0,0.167,0.7557,1.6587,2.3651,132,383,190
BB,15m,0.45,5.0,0.25,1.0395,1.6569,2.9465,137,394,190
BB,15m,0.4,5.0,0.25,1.0649,1.6566,3.2927,133,402,191
BB,15m,0.4,2.0,0.167,1.3001,1.6544,2.8341,133,402,191
BB,15m,0.65,10.0,0.167,0.9537,1.6448,3.287,132,383,190
BB,15m,0.525,10.0,0.167,1.6363,1.6433,3.889,134,392,189
BB,15m,0.525,7.0,0.167,1.5829,1.6397,3.8721,134,392,189
BB,15m,0.55,10.0,0.167,0.7545,1.6386,3.5603,132,395,191
BB,15m,0.5,10.0,0.167,1.7804,1.6337,3.5312,134,397,190
BB,15m,0.525,3.0,0.167,1.2133,1.6336,3.213,134,392,189
BB,15m,0.55,7.0,0.167,0.7025,1.6278,3.5242,132,395,191
BB,15m,0.375,10.0,0.25,2.2123,1.6256,2.6426,130,401,194
BB,15m,0.525,5.0,0.167,1.5705,1.6245,3.8173,134,392,189
BB,15m,0.625,10.0,0.167,0.6835,1.621,3.1557,132,388,189
BB,15m,0.4,10.0,0.25,1.0051,1.6192,3.0203,133,402,191
BB,15m,0.575,3.0,0.167,0.6762,1.6161,2.6591,132,397,191
BB,15m,0.5,5.0,0.167,1.8967,1.6149,3.4285,134,397,190
BB,15m,0.6,3.0,0.167,0.3191,1.614,2.4912,131,392,191
BB,15m,0.625,2.0,0.167,0.4833,1.6126,2.3209,132,388,189
BB,15m,0.675,10.0,0.25,0.7674,1.6103,2.3632,128,379,191
BB,15m,0.375,7.0,0.25,2.1254,1.6053,2.6255,130,401,194
BB,15m,0.35,4.0,0.167,1.5957,1.6045,3.6942,134,403,195
BB,15m,0.425,4.0,0.25,0.6122,1.6015,3.3926,135,400,191
BB,15m,0.4,7.0,0.25,0.9251,1.5978,2.9691,133,402,191
BB,15m,0.35,10.0,0.167,1.5379,1.5956,3.765,134,403,195
BB,15m,0.375,2.0,0.167,1.965,1.5938,2.568,130,401,194
BB,15m,0.65,2.0,0.167,0.5046,1.5908,2.2735,132,383,190
BB,15m,0.4,3.0,0.25,0.5361,1.5896,2.9326,133,402,191
BB,15m,0.55,3.0,0.167,0.484,1.5889,2.8493,132,395,191
BB,15m,0.35,7.0,0.167,1.5144,1.5857,3.7615,134,403,195
BB,15m,0.375,3.0,0.25,1.5272,1.5835,2.8464,130,401,194
BB,15m,0.6,10.0,0.167,0.6644,1.5826,3.0894,131,392,191
BB,15m,0.5,3.0,0.167,1.6068,1.563,3.0939,134,397,190
BB,15m,0.3,4.0,0.25,2.3845,1.5592,3.3056,134,402,199
BB,15m,0.575,2.0,0.167,0.8308,1.5548,2.221,132,397,191
BB,15m,0.475,10.0,0.25,1.2875,1.5505,2.8519,136,395,189
BB,15m,0.7,3.0,0.167,1.2062,1.5418,2.7357,129,374,191
BB,15m,0.625,3.0,0.167,0.5631,1.5413,2.3121,132,388,189
BB,15m,0.675,5.0,0.25,0.4546,1.5312,2.6621,128,379,191
BB,15m,0.325,4.0,0.25,1.8942,1.5302,3.3376,132,403,197
BB,15m,0.35,2.0,0.167,1.251,1.5297,2.7434,134,403,195
BB,15m,0.35,5.0,0.25,1.3153,1.5267,2.9334,134,403,195
BB,15m,0.675,7.0,0.25,0.6691,1.5257,2.6059,128,379,191
BB,15m,0.45,3.0,0.25,0.728,1.523,2.454,137,394,190
BB,15m,0.5,7.0,0.25,1.1536,1.5105,2.7384,134,397,190
BB,15m,0.5,2.0,0.167,1.7108,1.5065,2.1273,134,397,190
BB,15m,0.475,4.0,0.25,0.912,1.5029,3.3003,136,395,189
BB,15m,0.525,2.0,0.167,1.3832,1.4987,2.344,134,392,189
BB,15m,0.6,2.0,0.167,0.3038,1.4981,2.2922,131,392,191
BB,15m,0.325,3.0,0.25,1.2142,1.4948,3.3143,132,403,197
BB,15m,0.55,2.0,0.167,0.578,1.4936,1.9136,132,395,191
BB,15m,0.4,4.0,0.25,0.8154,1.4893,3.3795,133,402,191
BB,15m,0.5,10.0,0.25,1.2895,1.4852,2.6686,134,397,190
BB,15m,0.475,5.0,0.25,1.3331,1.484,3.0511,136,395,189
BB,15m,0.575,7.0,0.25,0.798,1.4731,2.3464,132,397,191
BB,15m,0.3,3.0,0.25,2.3358,1.4651,3.1287,134,402,199
BB,15m,0.525,10.0,0.25,1.2242,1.4641,3.0846,134,392,189
BB,15m,0.575,10.0,0.25,0.8691,1.462,2.3017,132,397,191
BB,15m,0.7,10.0,0.25,0.7323,1.4548,2.7108,129,374,191
BB,15m,0.35,10.0,0.25,1.3498,1.4494,2.8823,134,403,195
BB,15m,0.7,2.0,0.167,0.6312,1.4465,2.4762,129,374,191
BB,15m,0.55,10.0,0.25,0.8238,1.4367,2.5807,132,395,191
BB,15m,0.35,7.0,0.25,1.2701,1.4339,2.8511,134,403,195
BB,15m,0.525,7.0,0.25,1.155,1.4294,3.1494,134,392,189
