r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,kind,tf,split,depth_frac,n_zones
4.0,0.167,402,0.525,1.8323,736.6,BB,15m,train,0.4,767
4.0,0.25,402,0.473,1.4893,598.7,BB,15m,train,0.4,767
4.0,0.5,402,0.391,0.2589,104.1,BB,15m,train,0.4,767
4.0,1.0,402,0.338,-1.3422,-539.55,BB,15m,train,0.4,767
4.0,2.0,402,0.326,-3.5322,-1419.93,BB,15m,train,0.4,767
4.0,5.0,402,0.284,-8.0239,-3225.59,BB,15m,train,0.4,767
5.0,0.083,402,0.667,2.1604,868.49,BB,15m,train,0.4,767
5.0,0.125,402,0.582,2.351,945.09,BB,15m,train,0.4,767
5.0,0.167,402,0.522,1.8365,738.27,BB,15m,train,0.4,767
5.0,0.25,402,0.473,1.6566,665.95,BB,15m,train,0.4,767
5.0,0.5,402,0.386,0.5415,217.69,BB,15m,train,0.4,767
5.0,1.0,402,0.318,-1.067,-428.92,BB,15m,train,0.4,767
5.0,2.0,402,0.299,-3.2985,-1326.01,BB,15m,train,0.4,767
5.0,5.0,402,0.249,-7.7954,-3133.76,BB,15m,train,0.4,767
7.0,0.083,402,0.659,2.0825,837.16,BB,15m,train,0.4,767
7.0,0.125,402,0.572,2.2078,887.54,BB,15m,train,0.4,767
7.0,0.167,402,0.512,1.7099,687.38,BB,15m,train,0.4,767
7.0,0.25,402,0.463,1.5978,642.3,BB,15m,train,0.4,767
7.0,0.5,402,0.371,0.5968,239.93,BB,15m,train,0.4,767
7.0,1.0,402,0.296,-0.8072,-324.51,BB,15m,train,0.4,767
7.0,2.0,402,0.261,-2.8999,-1165.77,BB,15m,train,0.4,767
7.0,5.0,402,0.214,-7.7077,-3098.48,BB,15m,train,0.4,767
10.0,0.083,402,0.659,2.0778,835.26,BB,15m,train,0.4,767
10.0,0.125,402,0.572,2.2065,887.01,BB,15m,train,0.4,767
10.0,0.167,402,0.512,1.7218,692.16,BB,15m,train,0.4,767
10.0,0.25,402,0.463,1.6192,650.91,BB,15m,train,0.4,767
10.0,0.5,402,0.361,0.4432,178.18,BB,15m,train,0.4,767
10.0,1.0,402,0.284,-0.6408,-257.59,BB,15m,train,0.4,767
10.0,2.0,402,0.241,-2.4642,-990.59,BB,15m,train,0.4,767
10.0,5.0,402,0.174,-6.988,-2809.19,BB,15m,train,0.4,767
2.0,0.083,400,0.688,2.0238,809.52,BB,15m,train,0.425,767
2.0,0.125,400,0.63,2.0477,819.08,BB,15m,train,0.425,767
2.0,0.167,400,0.592,1.6817,672.68,BB,15m,train,0.425,767
2.0,0.25,400,0.558,1.2032,481.27,BB,15m,train,0.425,767
2.0,0.5,400,0.512,0.0185,7.39,BB,15m,train,0.425,767
2.0,1.0,400,0.472,-1.5699,-627.95,BB,15m,train,0.425,767
2.0,2.0,400,0.395,-3.7581,-1503.23,BB,15m,train,0.425,767
2.0,5.0,400,0.222,-8.1299,-3251.98,BB,15m,train,0.425,767
3.0,0.083,400,0.675,2.2048,881.93,BB,15m,train,0.425,767
3.0,0.125,400,0.61,2.3207,928.29,BB,15m,train,0.425,767
3.0,0.167,400,0.562,1.9991,799.64,BB,15m,train,0.425,767
3.0,0.25,400,0.518,1.6707,668.3,BB,15m,train,0.425,767
3.0,0.5,400,0.45,0.4644,185.77,BB,15m,train,0.425,767
3.0,1.0,400,0.408,-1.3078,-523.12,BB,15m,train,0.425,767
3.0,2.0,400,0.375,-3.491,-1396.4,BB,15m,train,0.425,767
3.0,5.0,400,0.282,-7.9686,-3187.46,BB,15m,train,0.425,767
4.0,0.083,400,0.662,2.0634,825.35,BB,15m,train,0.425,767
4.0,0.125,400,0.585,2.2111,884.46,BB,15m,train,0.425,767
4.0,0.167,400,0.532,1.9066,762.66,BB,15m,train,0.425,767
4.0,0.25,400,0.478,1.6015,640.59,BB,15m,train,0.425,767
4.0,0.5,400,0.4,0.3829,153.17,BB,15m,train,0.425,767
4.0,1.0,400,0.342,-1.3413,-536.5,BB,15m,train,0.425,767
4.0,2.0,400,0.325,-3.5191,-1407.62,BB,15m,train,0.425,767
4.0,5.0,400,0.28,-8.0061,-3202.42,BB,15m,train,0.425,767
5.0,0.083,400,0.662,2.1061,842.46,BB,15m,train,0.425,767
5.0,0.125,400,0.585,2.327,930.8,BB,15m,train,0.425,767
5.0,0.167,400,0.53,1.9025,761.01,BB,15m,train,0.425,767
5.0,0.25,400,0.475,1.7069,682.76,BB,15m,train,0.425,767
5.0,0.5,400,0.39,0.5555,222.19,BB,15m,train,0.425,767
5.0,1.0,400,0.322,-1.1069,-442.77,BB,15m,train,0.425,767
5.0,2.0,400,0.3,-3.2883,-1315.31,BB,15m,train,0.425,767
5.0,5.0,400,0.25,-7.7595,-3103.82,BB,15m,train,0.425,767
7.0,0.083,400,0.658,2.0306,812.25,BB,15m,train,0.425,767
7.0,0.125,400,0.578,2.2494,899.74,BB,15m,train,0.425,767
7.0,0.167,400,0.522,1.8496,739.83,BB,15m,train,0.425,767
7.0,0.25,400,0.468,1.7529,701.15,BB,15m,train,0.425,767
7.0,0.5,400,0.38,0.8242,329.69,BB,15m,train,0.425,767
7.0,1.0,400,0.302,-0.7353,-294.14,BB,15m,train,0.425,767
7.0,2.0,400,0.262,-2.8164,-1126.55,BB,15m,train,0.425,767
7.0,5.0,400,0.215,-7.4701,-2988.02,BB,15m,train,0.425,767
10.0,0.083,400,0.658,2.0259,810.38,BB,15m,train,0.425,767
10.0,0.125,400,0.575,2.1918,876.72,BB,15m,train,0.425,767
10.0,0.167,400,0.52,1.8102,724.07,BB,15m,train,0.425,767
10.0,0.25,400,0.465,1.7265,690.6,BB,15m,train,0.425,767
10.0,0.5,400,0.368,0.5752,230.1,BB,15m,train,0.425,767
10.0,1.0,400,0.285,-0.6723,-268.92,BB,15m,train,0.425,767
10.0,2.0,400,0.24,-2.3819,-952.76,BB,15m,train,0.425,767
10.0,5.0,400,0.178,-6.8198,-2727.94,BB,15m,train,0.425,767
2.0,0.083,394,0.688,1.9682,775.46,BB,15m,train,0.45,767
2.0,0.125,394,0.642,2.0702,815.67,BB,15m,train,0.45,767
2.0,0.167,394,0.602,1.7627,694.49,BB,15m,train,0.45,767
2.0,0.25,394,0.558,1.2353,486.72,BB,15m,train,0.45,767
2.0,0.5,394,0.513,0.0478,18.82,BB,15m,train,0.45,767
2.0,1.0,394,0.467,-1.5563,-613.19,BB,15m,train,0.45,767
2.0,2.0,394,0.388,-3.7554,-1479.62,BB,15m,train,0.45,767
2.0,5.0,394,0.208,-8.1362,-3205.64,BB,15m,train,0.45,767
3.0,0.083,394,0.67,2.169,854.6,BB,15m,train,0.45,767
3.0,0.125,394,0.609,2.2435,883.92,BB,15m,train,0.45,767
3.0,0.167,394,0.558,1.9366,763.02,BB,15m,train,0.45,767
3.0,0.25,394,0.515,1.523,600.07,BB,15m,train,0.45,767
3.0,0.5,394,0.442,0.3389,133.51,BB,15m,train,0.45,767
3.0,1.0,394,0.401,-1.4172,-558.38,BB,15m,train,0.45,767
3.0,2.0,394,0.368,-3.5942,-1416.11,BB,15m,train,0.45,767
3.0,5.0,394,0.272,-8.0715,-3180.19,BB,15m,train,0.45,767
4.0,0.083,394,0.66,2.1316,839.85,BB,15m,train,0.45,767
4.0,0.125,394,0.589,2.2783,897.65,BB,15m,train,0.45,767
4.0,0.167,394,0.533,2.0165,794.52,BB,15m,train,0.45,767
4.0,0.25,394,0.485,1.7024,670.74,BB,15m,train,0.45,767
4.0,0.5,394,0.398,0.4212,165.95,BB,15m,train,0.45,767
4.0,1.0,394,0.34,-1.3385,-527.36,BB,15m,train,0.45,767
4.0,2.0,394,0.32,-3.5187,-1386.36,BB,15m,train,0.45,767
4.0,5.0,394,0.272,-8.0333,-3165.13,BB,15m,train,0.45,767
5.0,0.083,394,0.657,2.092,824.24,BB,15m,train,0.45,767
5.0,0.125,394,0.586,2.2935,903.64,BB,15m,train,0.45,767
5.0,0.167,394,0.525,1.9011,749.03,BB,15m,train,0.45,767
5.0,0.25,394,0.472,1.6569,652.83,BB,15m,train,0.45,767
5.0,0.5,394,0.381,0.4105,161.73,BB,15m,train,0.45,767
5.0,1.0,394,0.315,-1.3437,-529.42,BB,15m,train,0.45,767
5.0,2.0,394,0.292,-3.5595,-1402.42,BB,15m,train,0.45,767
5.0,5.0,394,0.244,-8.0573,-3174.6,BB,15m,train,0.45,767
7.0,0.083,394,0.65,1.9895,783.88,BB,15m,train,0.45,767
7.0,0.125,394,0.576,2.1857,861.17,BB,15m,train,0.45,767
7.0,0.167,394,0.515,1.8176,716.12,BB,15m,train,0.45,767
7.0,0.25,394,0.462,1.6717,658.66,BB,15m,train,0.45,767
7.0,0.5,394,0.368,0.6307,248.48,BB,15m,train,0.45,767
7.0,1.0,394,0.292,-1.002,-394.8,BB,15m,train,0.45,767
7.0,2.0,394,0.259,-3.0008,-1182.32,BB,15m,train,0.45,767
7.0,5.0,394,0.211,-7.5778,-2985.65,BB,15m,train,0.45,767
10.0,0.083,394,0.65,1.99,784.07,BB,15m,train,0.45,767
10.0,0.125,394,0.574,2.1351,841.24,BB,15m,train,0.45,767
10.0,0.167,394,0.513,1.7869,704.06,BB,15m,train,0.45,767
10.0,0.25,394,0.459,1.661,654.42,BB,15m,train,0.45,767
10.0,0.5,394,0.355,0.4224,166.42,BB,15m,train,0.45,767
10.0,1.0,394,0.274,-0.9133,-359.83,BB,15m,train,0.45,767
10.0,2.0,394,0.234,-2.6546,-1045.9,BB,15m,train,0.45,767
10.0,5.0,394,0.178,-7.2054,-2838.92,BB,15m,train,0.45,767
2.0,0.083,395,0.681,2.0376,804.84,BB,15m,train,0.475,767
2.0,0.125,395,0.638,2.1488,848.77,BB,15m,train,0.475,767
2.0,0.167,395,0.59,1.7344,685.09,BB,15m,train,0.475,767
2.0,0.25,395,0.549,1.2011,474.44,BB,15m,train,0.475,767
2.0,0.5,395,0.504,-0.0271,-10.72,BB,15m,train,0.475,767
2.0,1.0,395,0.446,-1.6614,-656.24,BB,15m,train,0.475,767
2.0,2.0,395,0.385,-3.877,-1531.41,BB,15m,train,0.475,767
2.0,5.0,395,0.197,-8.2682,-3265.94,BB,15m,train,0.475,767
3.0,0.083,395,0.658,2.1119,834.2,BB,15m,train,0.475,767
3.0,0.125,395,0.6,2.1975,868.03,BB,15m,train,0.475,767
3.0,0.167,395,0.549,1.8279,722.02,BB,15m,train,0.475,767
3.0,0.25,395,0.516,1.4131,558.19,BB,15m,train,0.475,767
3.0,0.5,395,0.438,0.2018,79.7,BB,15m,train,0.475,767
3.0,1.0,395,0.403,-1.486,-586.97,BB,15m,train,0.475,767
3.0,2.0,395,0.365,-3.7004,-1461.65,BB,15m,train,0.475,767
3.0,5.0,395,0.256,-8.1089,-3203.03,BB,15m,train,0.475,767
4.0,0.083,395,0.643,2.0399,805.77,BB,15m,train,0.475,767
4.0,0.125,395,0.577,2.1979,868.17,BB,15m,train,0.475,767
4.0,0.167,395,0.522,1.8515,731.35,BB,15m,train,0.475,767
4.0,0.25,395,0.486,1.5029,593.66,BB,15m,train,0.475,767
4.0,0.5,395,0.39,0.1672,66.05,BB,15m,train,0.475,767
4.0,1.0,395,0.337,-1.5116,-597.08,BB,15m,train,0.475,767
4.0,2.0,395,0.316,-3.6903,-1457.68,BB,15m,train,0.475,767
4.0,5.0,395,0.263,-8.1843,-3232.79,BB,15m,train,0.475,767
5.0,0.083,395,0.641,2.0042,791.65,BB,15m,train,0.475,767
5.0,0.125,395,0.572,2.222,877.69,BB,15m,train,0.475,767
