ts_ms,open,high,low,close,volume
1781072100000,1627.92,1631.11,1626.39,1627.52,5549.59
1781073000000,1627.52,1632.4,1621.38,1630.55,9140.66
1781073900000,1630.55,1633.6,1628.91,1631.06,6796.55
1781074800000,1631.06,1634.4,1629.67,1632.98,5768.49
1781075700000,1632.98,1637.98,1632.14,1636.0,10215.14
1781076600000,1636.0,1643.11,1635.0,1640.31,16197.55
1781077500000,1640.31,1641.98,1637.01,1639.31,6159.32
1781078400000,1639.31,1640.17,1634.49,1635.78,10769.0
1781079300000,1635.78,1638.93,1631.53,1633.24,6203.36
1781080200000,1633.24,1635.0,1620.59,1620.89,34918.94
1781081100000,1620.89,1622.58,1616.58,1620.22,16361.78
1781082000000,1620.22,1622.58,1611.79,1612.75,17477.49
1781082900000,1612.75,1619.36,1604.0,1618.1,40749.19
1781083800000,1618.1,1622.8,1617.1,1620.21,10463.34
1781084700000,1620.21,1626.0,1615.69,1622.87,9534.55
1781085600000,1622.87,1623.29,1618.15,1619.74,7648.95
1781086500000,1619.74,1625.19,1617.11,1623.98,5985.3
1781087400000,1623.98,1628.64,1623.46,1625.36,7012.54
1781088300000,1625.36,1629.36,1624.11,1627.48,6647.94
1781089200000,1627.48,1629.52,1610.31,1620.68,50161.77
1781090100000,1620.68,1624.17,1611.51,1616.0,26660.47
1781091000000,1616.0,1621.0,1614.22,1619.14,10618.85
1781091900000,1619.14,1623.1,1617.9,1619.06,6094.06
1781092800000,1619.06,1624.32,1614.54,1622.65,13631.18
1781093700000,1622.65,1625.01,1619.2,1624.43,12487.0
1781094600000,1624.43,1644.99,1622.86,1638.46,103373.14
1781095500000,1638.46,1641.0,1634.52,1634.52,18110.31
1781096400000,1634.52,1636.12,1631.51,1633.18,12213.95
1781097300000,1633.18,1638.01,1629.94,1636.17,22956.62
1781098200000,1636.17,1667.35,1634.25,1666.1,109202.59
1781099100000,1666.1,1667.92,1649.48,1651.01,39290.73
1781100000000,1651.01,1654.96,1645.21,1646.22,27782.44
1781100900000,1646.22,1651.07,1641.28,1645.63,17474.97
1781101800000,1645.63,1648.64,1637.28,1642.29,39525.58
1781102700000,1642.29,1646.31,1636.22,1645.95,23753.8
1781103600000,1645.95,1652.83,1634.71,1638.53,29711.11
1781104500000,1638.53,1650.81,1635.26,1648.22,15361.7
1781105400000,1648.22,1654.51,1646.21,1653.97,12059.96
1781106300000,1653.97,1664.6,1641.19,1657.21,53136.55
1781107200000,1657.21,1658.44,1650.28,1650.89,21710.23
1781108100000,1650.89,1653.79,1641.81,1648.34,24112.52
1781109000000,1648.34,1651.49,1643.02,1644.01,14479.82
1781109900000,1644.01,1644.02,1631.21,1641.6,49740.56
1781110800000,1641.6,1646.9,1636.46,1638.84,29385.22
1781111700000,1638.84,1642.59,1625.49,1627.07,51706.04
1781112600000,1627.07,1631.77,1621.18,1623.32,44276.58
1781113500000,1623.32,1635.59,1622.37,1631.33,19824.33
1781114400000,1631.33,1634.9,1627.3,1629.97,10802.14
1781115300000,1629.97,1636.53,1625.72,1635.29,12877.09
1781116200000,1635.29,1635.29,1624.26,1625.67,13835.15
1781117100000,1625.67,1630.66,1621.29,1630.14,12629.75
1781118000000,1630.14,1632.39,1625.18,1625.98,7729.64
1781118900000,1625.98,1627.93,1622.0,1626.44,7822.41
1781119800000,1626.44,1632.96,1625.7,1631.25,7649.86
1781120700000,1631.25,1632.01,1624.52,1629.15,10936.59
1781121600000,1629.15,1629.43,1621.97,1625.85,14662.62
1781122500000,1625.85,1635.28,1622.6,1632.0,11762.94
1781123400000,1632.0,1632.24,1628.59,1628.59,6153.61
1781124300000,1628.59,1630.4,1624.7,1629.64,8000.43
1781125200000,1629.64,1629.64,1614.4,1617.84,23866.27
1781126100000,1617.84,1623.44,1614.59,1618.01,14021.05
1781127000000,1618.01,1624.14,1617.53,1623.27,6281.92
1781127900000,1623.27,1623.49,1602.47,1610.5,35903.92
1781128800000,1610.5,1612.32,1603.46,1610.07,18263.49
1781129700000,1610.07,1613.38,1603.36,1609.72,11158.06
1781130600000,1609.72,1621.61,1609.24,1619.77,18556.85
1781131500000,1619.77,1619.8,1615.53,1615.69,10203.64
1781132400000,1615.69,1616.46,1610.74,1611.62,7923.35
1781133300000,1611.62,1621.92,1608.26,1621.12,15428.01
1781134200000,1621.12,1624.72,1618.29,1622.31,8691.5
1781135100000,1622.31,1623.25,1619.44,1620.71,3903.95
1781136000000,1620.71,1626.65,1620.7,1625.29,8195.62
1781136900000,1625.29,1634.4,1625.29,1630.27,48703.77
1781137800000,1630.27,1631.05,1625.79,1626.9,8104.87
1781138700000,1626.9,1631.28,1626.55,1627.78,3621.35
1781139600000,1627.78,1639.46,1627.78,1637.22,19526.32
1781140500000,1637.22,1641.3,1636.14,1639.82,16404.72
1781141400000,1639.82,1647.27,1637.97,1643.86,25269.07
1781142300000,1643.86,1645.94,1641.3,1642.3,13410.71
1781143200000,1642.3,1644.06,1639.04,1639.86,12190.32
1781144100000,1639.86,1641.85,1633.89,1634.06,8420.29
1781145000000,1634.06,1635.38,1629.75,1634.4,8236.6
1781145900000,1634.4,1645.23,1632.24,1640.2,49299.36
